iter	Passed	Remaining
0	1	1491
1	2	1290
2	3	1213
3	4	1149
4	5	1130
5	6	1124
6	7	1106
7	8	1095
8	10	1122
9	11	1133
10	12	1132
11	13	1118
12	14	1119
13	15	1112
14	16	1106
15	18	1107
16	19	1110
17	20	1108
18	21	1106
19	22	1113
20	24	1123
21	25	1137
22	26	1146
23	28	1150
24	29	1151
25	30	1150
26	32	1153
27	33	1154
28	34	1154
29	35	1154
30	36	1156
31	38	1155
32	39	1163
33	41	1167
34	42	1171
35	43	1173
36	45	1175
37	46	1178
38	47	1181
39	49	1183
40	50	1185
41	51	1185
42	53	1184
43	54	1187
44	56	1193
45	57	1194
46	59	1196
47	60	1197
48	61	1197
49	62	1196
50	64	1196
51	65	1195
52	66	1193
53	68	1194
54	69	1199
55	71	1208
56	72	1207
57	74	1207
58	75	1204
59	76	1200
60	77	1198
61	78	1194
62	80	1192
63	81	1190
64	82	1187
65	83	1182
66	85	1184
67	86	1184
68	87	1180
69	88	1176
70	89	1174
71	90	1171
72	91	1167
73	93	1164
74	94	1160
75	95	1157
76	96	1154
77	97	1150
78	98	1147
79	99	1145
80	101	1147
81	102	1146
82	103	1142
83	104	1139
84	105	1135
85	106	1133
86	107	1130
87	108	1127
88	110	1130
89	111	1128
90	112	1125
91	113	1122
92	114	1120
93	116	1121
94	117	1120
95	118	1118
96	119	1117
97	121	1114
98	122	1111
99	123	1107
100	124	1104
101	125	1103
102	126	1100
103	127	1097
104	128	1095
105	129	1092
106	130	1091
107	132	1090
108	133	1088
109	134	1087
110	135	1085
111	136	1082
112	137	1080
113	138	1078
114	139	1075
115	140	1073
116	141	1070
117	142	1067
118	143	1064
119	144	1057
120	145	1055
121	146	1055
122	147	1052
123	148	1051
124	149	1049
125	150	1046
126	151	1043
127	152	1041
128	153	1038
129	154	1036
130	155	1033
131	156	1031
132	157	1029
133	159	1028
134	160	1025
135	160	1021
136	162	1021
137	163	1019
138	164	1016
139	165	1014
140	166	1012
141	167	1011
142	168	1009
143	169	1006
144	169	1001
145	170	996
146	171	993
147	171	990
148	172	984
149	172	979
150	173	977
151	174	973
152	175	972
153	177	973
154	178	971
155	178	966
156	179	964
157	180	959
158	181	957
159	182	956
160	183	953
161	183	948
162	184	946
163	185	945
164	186	943
165	187	941
166	188	939
167	188	935
168	189	933
169	191	933
170	192	933
171	193	929
172	193	926
173	194	924
174	196	924
175	196	920
176	197	918
177	198	918
178	199	914
179	200	913
180	201	910
181	202	909
182	203	907
183	204	905
184	205	904
185	205	901
186	206	898
187	207	897
188	208	896
189	209	893
190	210	890
191	211	889
192	212	887
193	213	886
194	214	883
195	215	882
196	215	879
197	216	877
198	217	875
199	218	873
200	219	872
201	220	871
202	222	871
203	223	871
204	224	868
205	224	866
206	226	865
207	227	866
208	228	862
209	228	859
210	229	858
211	230	856
212	231	855
213	232	853
214	233	851
215	233	849
216	235	848
217	236	848
218	237	847
219	238	846
220	239	842
221	240	841
222	241	840
223	241	836
224	241	833
225	242	831
226	243	829
227	244	827
228	244	824
229	245	823
230	246	821
231	247	820
232	248	816
233	249	815
234	249	811
235	250	811
236	252	811
237	253	811
238	254	810
239	255	809
240	256	808
241	257	806
242	257	803
243	258	802
244	259	800
245	260	799
246	261	797
247	262	795
248	263	794
249	264	793
250	265	792
251	267	793
252	268	792
253	269	791
254	270	790
255	271	788
256	272	787
257	273	786
258	274	785
259	275	783
260	276	782
261	277	781
262	278	780
263	279	779
264	281	779
265	282	778
266	282	776
267	283	775
268	284	773
269	285	772
270	286	771
271	287	770
272	288	769
273	289	768
274	290	766
275	291	765
276	293	764
277	294	764
278	294	762
279	296	763
280	298	764
281	300	764
282	301	762
283	302	762
284	303	760
285	304	760
286	305	759
287	306	758
288	308	758
289	309	757
290	310	757
291	311	756
292	313	756
293	314	755
294	315	754
295	316	753
296	317	752
297	318	750
298	319	749
299	320	748
300	321	747
301	322	746
302	324	745
303	325	745
304	326	744
305	328	744
306	329	743
307	330	742
308	331	741
309	332	739
310	333	738
311	334	737
312	335	736
313	336	735
314	337	734
315	338	733
316	339	731
317	340	730
318	341	730
319	343	729
320	344	728
321	345	727
322	346	726
323	347	725
324	348	724
325	349	722
326	350	721
327	352	721
328	353	720
329	354	718
330	355	717
331	356	716
332	357	716
333	358	715
334	359	713
335	360	712
336	361	711
337	362	710
338	363	709
339	364	708
340	365	706
341	366	705
342	367	704
343	368	703
344	369	702
345	370	700
346	372	700
347	373	699
348	374	698
349	375	697
350	376	696
351	377	695
352	379	694
353	380	693
354	381	692
355	382	691
356	383	690
357	384	689
358	385	688
359	386	687
360	387	686
361	389	685
362	390	684
363	391	683
364	392	681
365	393	680
366	394	679
367	395	678
368	396	677
369	397	676
370	398	675
371	399	673
372	400	672
373	401	671
374	402	670
375	403	669
376	404	668
377	405	667
378	406	666
379	407	665
380	408	664
381	409	662
382	410	661
383	411	660
384	412	659
385	413	658
386	414	656
387	415	655
388	416	654
389	417	653
390	419	653
391	420	652
392	421	650
393	422	649
394	423	648
395	424	647
396	425	646
397	426	645
398	427	643
399	428	642
400	429	641
401	430	640
402	431	639
403	433	638
404	434	638
405	435	637
406	436	636
407	437	635
408	438	633
409	439	632
410	440	631
411	441	630
412	442	629
413	443	628
414	444	627
415	445	625
416	446	624
417	448	623
418	449	623
419	450	622
420	451	621
421	453	620
422	454	619
423	455	618
424	456	617
425	457	616
426	458	615
427	459	614
428	460	613
429	461	612
430	462	611
431	464	610
432	465	609
433	466	608
434	467	607
435	468	606
436	469	605
437	470	604
438	471	602
439	472	601
440	474	601
441	475	600
442	476	599
443	477	598
444	478	597
445	480	597
446	481	596
447	482	595
448	483	593
449	484	592
450	485	591
451	486	590
452	487	589
453	488	588
454	489	586
455	490	585
456	491	584
457	492	583
458	494	582
459	495	581
460	496	580
461	497	579
462	498	578
463	499	577
464	501	576
465	501	575
466	503	574
467	504	573
468	505	571
469	506	570
470	507	569
471	508	568
472	509	567
473	510	566
474	511	565
475	513	565
476	514	563
477	515	562
478	516	561
479	517	560
480	518	559
481	519	558
482	520	557
483	521	556
484	522	554
485	523	553
486	525	553
487	526	552
488	527	550
489	528	549
490	529	548
491	530	547
492	531	546
493	532	545
494	533	544
495	534	543
496	535	542
497	537	541
498	539	541
499	542	542
500	543	541
501	544	540
502	545	539
503	547	538
504	548	537
505	549	536
506	550	535
507	552	534
508	553	533
509	554	533
510	556	532
511	558	531
512	559	531
513	560	530
514	561	529
515	562	527
516	564	527
517	565	526
518	567	525
519	568	524
520	569	523
521	571	523
522	572	522
523	573	521
524	574	519
525	575	518
526	577	518
527	578	517
528	579	516
529	581	515
530	582	514
531	584	514
532	586	513
533	587	512
534	588	511
535	589	510
536	590	509
537	592	508
538	593	507
539	594	506
540	595	505
541	596	504
542	597	503
543	599	502
544	600	501
545	602	500
546	603	499
547	604	498
548	605	497
549	606	496
550	608	495
551	609	494
552	611	493
553	612	492
554	613	491
555	614	490
556	616	489
557	617	489
558	618	488
559	620	487
560	621	486
561	622	485
562	624	484
563	625	483
564	626	482
565	627	481
566	628	479
567	629	479
568	631	478
569	632	477
570	633	476
571	635	475
572	636	474
573	638	473
574	639	472
575	640	471
576	641	470
577	642	469
578	644	468
579	645	467
580	646	466
581	647	465
582	649	464
583	650	463
584	651	462
585	652	461
586	653	459
587	655	459
588	656	458
589	657	457
590	658	456
591	660	455
592	661	454
593	662	453
594	664	452
595	665	451
596	666	449
597	668	449
598	669	447
599	670	446
600	671	445
601	672	444
602	673	443
603	675	442
604	676	441
605	677	440
606	679	439
607	680	438
608	681	437
609	682	436
610	683	435
611	685	434
612	686	433
613	687	431
614	688	430
615	689	429
616	690	428
617	692	427
618	693	426
619	694	425
620	695	424
621	697	423
622	698	422
623	699	421
624	700	420
625	701	418
626	702	417
627	703	416
628	704	415
629	705	414
630	707	413
631	708	412
632	710	411
633	711	410
634	712	409
635	714	408
636	715	407
637	716	406
638	717	405
639	718	404
640	719	403
641	721	402
642	722	401
643	724	400
644	725	399
645	726	398
646	727	397
647	729	396
648	730	394
649	731	393
650	732	392
651	733	391
652	735	390
653	736	389
654	737	388
655	739	387
656	740	386
657	742	385
658	743	384
659	744	383
660	745	382
661	746	381
662	747	379
663	748	378
664	749	377
665	751	376
666	753	375
667	754	374
668	755	373
669	756	372
670	757	371
671	759	370
672	760	369
673	761	368
674	762	367
675	763	365
676	764	364
677	765	363
678	767	362
679	768	361
680	769	360
681	770	359
682	772	358
683	774	357
684	775	356
685	776	355
686	777	354
687	778	353
688	779	352
689	781	350
690	782	349
691	783	348
692	785	348
693	787	347
694	788	346
695	789	344
